5,Krasnopresnenskaya,?????????????????,7,14/03/1954,?35.5 m,"pylon, triple-vault",55°45?41?N 37°34?39?E? / ?55.7613°N 37.5774°E? / 55.7613; 37.5774? (Krasnopresnenskaya)
5,Belorusskaya,???????????,2,30/01/1952,?42.5 m,"pylon, triple-vault",55°46?35?N 37°35?04?E? / ?55.7764°N 37.5844°E? / 55.7764; 37.5844? (Belorusskaya (Koltsevaya line))
5,Novoslobodskaya,??????????????,9,30/01/1952,?40 m,"pylon, triple-vault",55°46?48?N 37°36?10?E? / ?55.7799°N 37.6028°E? / 55.7799; 37.6028? (Novoslobodskaya)
5,Prospekt Mira,???????? ????,6,30/01/1952,?40 m,"pylon, triple-vault",55°46?47?N 37°37?54?E? / ?55.7798°N 37.6318°E? / 55.7798; 37.6318? (Prospekt Mira (Koltsevaya line))
5,Komsomolskaya,?????????????,1,30/01/1952,?37 m,"column, triple-vault",55°46?29?N 37°39?18?E? / ?55.7748°N 37.6549°E? / 55.7748; 37.6549? (Komsomolskaya (Koltsevaya line))
5,Kurskaya,???????,3+10,01/01/1950,?40 m,"column, triple-vault",55°45?25?N 37°39?34?E? / ?55.7570°N 37.6595°E? / 55.7570; 37.6595? (Kurskaya (Koltsevaya line))
5,Taganskaya,?????????,7+8,01/01/1950,?53 m,"pylon, triple-vault",55°44?30?N 37°39?06?E? / ?55.7418°N 37.6517°E? / 55.7418; 37.6517? (Taganskaya (Koltsevaya line))
5,Paveletskaya,??????????,2,01/01/1950,?40 m,"pylon, triple-vault",55°43?54?N 37°38?16?E? / ?55.7318°N 37.6379°E? / 55.7318; 37.6379? (Paveletskaya (Koltsevaya line))
5,Dobryninskaya,????????????,9,01/01/1950,?35.5 m,"pylon, triple-vault",55°43?45?N 37°37?27?E? / ?55.7291°N 37.6243°E? / 55.7291; 37.6243? (Dobryninskaya)
5,Oktyabrskaya,???????????,6,01/01/1950,?40 m,"pylon, triple-vault",55°43?47?N 37°36?33?E? / ?55.7297°N 37.6091°E? / 55.7297; 37.6091? (Oktyabrskaya (Koltsevaya line))
5,Park Kultury,???? ????????,1,01/01/1950,?40 m,"pylon, triple-vault",55°44?09?N 37°35?29?E? / ?55.7357°N 37.5915°E? / 55.7357; 37.5915? (Park Kultury (Koltsevaya line))
6,Medvedkovo,??????????,,30/09/1978,?10 m,"column, triple-span",55°53?14?N 37°39?41?E? / ?55.8872°N 37.6613°E? / 55.8872; 37.6613? (Medvedkovo)
6,Babushkinskaya,????????????,,30/09/1978,?10 m,"single-vault, shallow",55°52?10?N 37°39?52?E? / ?55.8694°N 37.6644°E? / 55.8694; 37.6644? (Babushkinskaya)
6,Sviblovo,????????,,30/09/1978,?8 m,"column, triple-span",55°51?19?N 37°39?10?E? / ?55.8552°N 37.6527°E? / 55.8552; 37.6527? (Sviblovo)
6,Botanichesky Sad,???????????? ???,14,30/09/1978,?7 m,"column, triple-span",55°50?42?N 37°38?18?E? / ?55.8449°N 37.6383°E? / 55.8449; 37.6383? (Botanichesky Sad)
6,VDNKh,????,13,01/05/1958,?53.5 m,"pylon, triple-vault",55°49?16?N 37°38?28?E? / ?55.8211°N 37.6411°E? / 55.8211; 37.6411? (VDNKh)
6,Alekseyevskaya,????????????,,01/05/1958,?51 m,"pylon, triple-vault",55°48?32?N 37°38?20?E? / ?55.8088°N 37.6390°E? / 55.8088; 37.6390? (Alekseyevskaya)
6,Rizhskaya,???????,,01/05/1958,?46 m,"pylon, triple-vault",55°47?37?N 37°38?10?E? / ?55.7936°N 37.6362°E? / 55.7936; 37.6362? (Rizhskaya)
6,Prospekt Mira,???????? ????,5,01/05/1958,?50 m,"pylon, triple-vault",55°46?52?N 37°37?54?E? / ?55.7812°N 37.6318°E? / 55.7812; 37.6318? (Prospekt Mira (Kaluzhsko-Rizhskaya line))
6,Sukharevskaya,???????????,,05/01/1972,?43 m,"pylon, triple-vault",55°46?24?N 37°37?55?E? / ?55.7733°N 37.6319°E? / 55.7733; 37.6319? (Sukharevskaya)
6,Turgenevskaya,????????????,1+10,05/01/1972,?49 m,"pylon, triple-vault",55°45?58?N 37°38?15?E? / ?55.7661°N 37.6374°E? / 55.7661; 37.6374? (Turgenevskaya)
6,Kitay-gorod,?????-?????,7,03/01/1971,?29 m,"column, triple-vault",55°45?19?N 37°38?00?E? / ?55.7553°N 37.6333°E? / 55.7553; 37.6333? (Kitay-gorod)
6,Tretyakovskaya,?????????????,8+2,03/01/1971,?46 m,"pylon, triple-vault",55°44?28?N 37°37?39?E? / ?55.7412°N 37.6274°E? / 55.7412; 37.6274? (Tretyakovskaya)
6,Oktyabrskaya,???????????,5,13/10/1962,?50 m,"pylon, triple-vault",55°43?50?N 37°36?40?E? / ?55.7306°N 37.6112°E? / 55.7306; 37.6112? (Oktyabrskaya (Kaluzhsko-Rizhskaya line))
6,Shabolovskaya,???????????,,06/11/1980,?46.5 m,"pylon, triple-vault",55°43?11?N 37°36?30?E? / ?55.7198°N 37.6083°E? / 55.7198; 37.6083? (Shabolovskaya)
6,Leninsky Prospekt,????????? ????????,,13/10/1962,?16 m,"column, triple-span",55°42?28?N 37°35?10?E? / ?55.7077°N 37.5861°E? / 55.7077; 37.5861? (Leninsky Prospekt)
6,Akademicheskaya,?????????????,,13/10/1962,?8.5 m,"column, triple-span",55°41?16?N 37°34?24?E? / ?55.6877°N 37.5733°E? / 55.6877; 37.5733? (Akademicheskaya)
6,Profsoyuznaya,???????????,,13/10/1962,?7 m,"column, triple-span",55°40?41?N 37°33?46?E? / ?55.6780°N 37.5627°E? / 55.6780; 37.5627? (Profsoyuznaya)
6,Novye Cheryomushki,????? ?????????,,13/10/1962,?7 m,"column, triple-span",55°40?13?N 37°33?16?E? / ?55.6702°N 37.5544°E? / 55.6702; 37.5544? (Novye Cheryomushki)
6,Kaluzhskaya,?????????,,12/08/1974,?10 m,"column, triple-span",55°39?26?N 37°32?26?E? / ?55.6571°N 37.5405°E? / 55.6571; 37.5405? (Kaluzhskaya)
6,Belyayevo,???????,,12/08/1974,?12 m,"column, triple-span",55°38?34?N 37°31?33?E? / ?55.6428°N 37.5257°E? / 55.6428; 37.5257? (Belyayevo)
6,Konkovo,????????,,06/11/1987,?8 m,"single-vault, shallow",55°38?00?N 37°31?08?E? / ?55.6333°N 37.5188°E? / 55.6333; 37.5188? (Konkovo)
6,Tyoply Stan,?????? ????,,06/11/1987,?8 m,"column, triple-span",55°37?09?N 37°30?30?E? / ?55.6191°N 37.5082°E? / 55.6191; 37.5082? (Tyoply Stan)
6,Yasenevo,???????,,17/01/1990,?8 m,"column, triple-span",55°36?23?N 37°32?00?E? / ?55.6063°N 37.5333°E? / 55.6063; 37.5333? (Yasenevo)
6,Novoyasenevskaya,??????????????,12,17/01/1990,?7 m,"column, triple-span",55°36?04?N 37°33?15?E? / ?55.6010°N 37.5541°E? / 55.6010; 37.5541? (Novoyasenevskaya)
7,Planernaya,?????????,,30/12/1975,?6 m,"column, triple-span",55°51?39?N 37°26?11?E? / ?55.8607°N 37.4364°E? / 55.8607; 37.4364? (Planernaya)
7,Skhodnenskaya,???????????,,30/12/1975,?6 m,"single-vault, shallow",55°51?02?N 37°26?23?E? / ?55.8505°N 37.4396°E? / 55.8505; 37.4396? (Skhodnenskaya)
7,Tushinskaya,?????????,,30/12/1975,?10.5 m,"column, triple-span",55°49?36?N 37°26?12?E? / ?55.8267°N 37.4368°E? / 55.8267; 37.4368? (Tushinskaya)
7,Spartak,???????,,27/08/2014,?10 m,"column, triple-span",55°49?06?N 37°26?07?E? / ?55.8182°N 37.4352°E? / 55.8182; 37.4352? (Spartak)
7,Shchukinskaya,?????????,,30/12/1975,?13 m,"column, triple-span",55°48?31?N 37°27?51?E? / ?55.8086°N 37.4641°E? / 55.8086; 37.4641? (Shchukinskaya)
7,Oktyabrskoye Pole,??????????? ????,14,30/12/1972,-11 m,"column, triple-span",55°47?37?N 37°29?37?E? / ?55.7935°N 37.4935°E? / 55.7935; 37.4935? (Oktyabrskoye Pole)
7,Polezhayevskaya,????????????,14,30/12/1972,?10 m,"column, triple-span",55°46?39?N 37°31?09?E? / ?55.7775°N 37.5192°E? / 55.7775; 37.5192? (Polezhayevskaya)
7,Begovaya,???????,,30/12/1972,?9 m,"column, triple-span",55°46?26?N 37°32?48?E? / ?55.7738°N 37.5468°E? / 55.7738; 37.5468? (Begovaya)
7,Ulitsa 1905 Goda,????? 1905 ????,,30/12/1972,?11 m,"column, triple-span",55°45?54?N 37°33?41?E? / ?55.7650°N 37.5613°E? / 55.7650; 37.5613? (Ulitsa 1905 Goda)
7,Barrikadnaya,???????????,5,30/12/1972,?30 m,"pylon, triple-vault",55°45?40?N 37°34?46?E? / ?55.7612°N 37.5795°E? / 55.7612; 37.5795? (Barrikadnaya)
7,Pushkinskaya,??????????,2+9,17/12/1975,?51 m,"column, triple-vault",55°45?54?N 37°36?28?E? / ?55.7650°N 37.6079°E? / 55.7650; 37.6079? (Pushkinskaya)
7,Kuznetsky Most,????????? ????,1,17/12/1975,?39.5 m,"column, triple-vault",55°45?38?N 37°37?33?E? / ?55.7606°N 37.6259°E? / 55.7606; 37.6259? (Kuznetsky Most)
7,Kitay-gorod,?????-?????,6,03/01/1971,?29 m,"column, triple-vault",55°45?19?N 37°38?00?E? / ?55.7553°N 37.6333°E? / 55.7553; 37.6333? (Kitay-gorod)
7,Taganskaya,?????????,5+8,31/12/1966,?36 m,"pylon, triple-vault",55°44?25?N 37°39?08?E? / ?55.7402°N 37.6522°E? / 55.7402; 37.6522? (Taganskaya (Tagansko-Krasnopresnenskaya line))
7,Proletarskaya,????????????,10,31/12/1966,?9 m,"column, triple-span",55°43?55?N 37°39?57?E? / ?55.7319°N 37.6659°E? / 55.7319; 37.6659? (Proletarskaya)
7,Volgogradsky Prospekt,????????????? ????????,,31/12/1966,?8 m,"column, triple-span",55°43?31?N 37°41?13?E? / ?55.7253°N 37.6869°E? / 55.7253; 37.6869? (Volgogradsky Prospekt)
7,Tekstilshchiki,????????????,,31/12/1966,?13 m,"column, triple-span",55°42?32?N 37°43?54?E? / ?55.7088°N 37.7316°E? / 55.7088; 37.7316? (Tekstilshchiki)
7,Kuzminki,?????????,,31/12/1966,?8 m,"column, triple-span",55°42?20?N 37°45?56?E? / ?55.7056°N 37.7656°E? / 55.7056; 37.7656? (Kuzminki)
7,Ryazansky Prospekt,????????? ????????,,31/12/1966,?6 m,"column, triple-span",55°43?01?N 37°47?36?E? / ?55.7170°N 37.7933°E? / 55.7170; 37.7933? (Ryazansky Prospekt)
7,Vykhino,??????,,31/12/1966,0 m,"surface, open",55°42?56?N 37°49?05?E? / ?55.7156°N 37.8181°E? / 55.7156; 37.8181? (Vykhino)
7,Lermontovsky Prospekt,????????????? ????????,,09/11/2013,?12 m,"single-vault, shallow",55°42?05?N 37°51?09?E? / ?55.7013°N 37.8525°E? / 55.7013; 37.8525? (Lermontovsky Prospekt)
7,Zhulebino,????????,,09/11/2013,?15 m,"column, double-span",55°41?08?N 37°51?23?E? / ?55.6855°N 37.8563°E? / 55.6855; 37.8563? (Zhulebino)
7,Kotelniki,??????????,,21/09/2015,?15 m,"column, double-span",55°40?27?N 37°51?30?E? / ?55.6743°N 37.8582°E? / 55.6743; 37.8582? (Kotelniki)
8A,Ramenki,???????,,16/03/2017,?15 m,"column, double-span",55°41?51?N 37°29?54?E? / ?55.6975°N 37.4984°E? / 55.6975; 37.4984? (Ramenki)
8A,Lomonosovsky Prospekt,????????????? ????????,,16/03/2017,?15 m,"column, double-span",55°42?25?N 37°30?56?E? / ?55.7069°N 37.5156°E? / 55.7069; 37.5156? (Lomonosovsky Prospekt)
8A,Minskaya,???????,,16/03/2017,?15 m,"column, double-span",55°43?29?N 37°29?49?E? / ?55.7246°N 37.4970°E? / 55.7246; 37.4970? (Minskaya)
